Name,hd,RA,DEC,Vmag,eVmag,PlxFlag,Teff,eTeff,Logg,eLogg,Vt,eVt,[Fe/H],e[Fe/H],Reference,Link,SWFlag,Update,Comment,Database,gaia_dr2,gaia_dr3,Plx,ePlx,Gmag,eGmag,RPmag,eRPmag,BPmag,eBPmag,FG,eFG,G_flux_std_n,Logg_gaia,eLogg_gaia,Mass_t,eMass_t,Radius_t,eRadius_t,spec_base,Distance,RA_EU,DEC_EU,RA_NASA,DEC_NASA,Distance_b,eDistance_b
Kepler-345,,19 40 54.91,+45 58 15.67,,,GAIAeDR3,4504.0,100.0,4.68,0.15,,,-0.02,0.1,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,"EU,NASA",2080067749681845504,2080067749681845504,2.7762,0.0857,14.035,0.0029,13.2159,0.0039,14.7084,0.0032,45810.0,40.74,0.016849,4.36966549164577,0.066162710185166,0.6989018566952696,0.0117814083598049,0.9110522723542588,0.029847353164441,,360.204596210648,295.2288020000001,45.97102,295.2288521000001,45.9710432,360.268433,10.844910000000024
Kepler-346,,19 12 2.86,+46 07 03.39,,,GAIAeDR3,5511.0,60.0,4.54,0.1,,,0.1,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2130363259822710272,2130363259822710272,1.0495,0.022,15.1433,0.0028,14.5968,0.004,15.5283,0.0033,16500.0,4.216,0.0047924,4.5463391662979245,0.0331396124988294,0.8980065997976977,0.0143273623688554,0.8938445452961121,0.0292836038360577,,952.834683182468,288.011911,46.117607,288.0119248000001,46.1176003,932.641174,22.451233
Kepler-347,,19 16 47.9,+49 18 20.58,,,GAIAeDR3,5703.0,60.0,4.03,0.1,,,-0.14,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2132614922197436928,2132614922197436928,0.7527,0.0144,14.4776,0.0028,13.9749,0.0039,14.816,0.0031,30470.0,6.432,0.0042948,4.126502700019933,0.0275379243620758,1.0270999008017,0.0146629903886444,1.4747629398349145,0.0483153070738031,,1328.55055134848,289.199596,49.305717,289.1995995000001,49.3056404,1284.86169,22.76429000000008
Kepler-348,,19 49 1.21,+40 32 54.15,,,GAIAeDR3,6421.0,60.0,4.38,0.1,,,-0.03,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2073750986669231232,2073750986669231232,1.7189,0.0096,12.5793,0.0028,12.1532,0.0038,12.8487,0.0028,175100.0,27.97,0.0032623,4.351584986815756,0.0222728060852536,1.2094403873160349,0.0190892619546441,1.2627669090768754,0.0413700190903332,,581.767409389726,297.25505,40.548373,297.2550814,40.5483883,576.327942,2.9354250000000093
Kepler-349,,19 34 42.36,+44 36 56.08,,,GAIAeDR3,5883.0,60.0,4.58,0.1,,,0.21,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2126415051008325376,2126415051008325376,1.0304,0.017,14.7106,0.0028,14.1891,0.004,15.0589,0.0039,24590.0,10.65,0.0080327,4.546110116401425,0.027691288773741,1.0361348118746283,0.0180303075287325,0.9302704438320228,0.0304769674782161,,970.496894409938,293.67648,44.615578,293.6764689,44.6155972,948.020508,14.454223999999956
Kepler-35 (AB),,19 37 59.27,+46 41 23.14,16.0,,GAIAeDR3,5606.0,150.0,4.36,,,,-0.34,0.2,Welsh et al. 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,0,2018-07-30,,"EU,NASA",2128155371757730816,2128155371757730816,0.5248,0.026,15.7222,0.0028,15.1401,0.0041,16.1319,0.004,9684.0,3.2510000000000003,0.0065279,4.234866595637786,0.0741143572059077,0.9042202345644408,0.0456678245455687,1.3201588120187164,0.0432502585100296,,1905.48780487805,294.4958333,46.69,294.496955,46.6896733,1818.26831,90.27002000000016
Kepler-350,,19 01 40.71,+39 42 21.99,13.8,,GAIAeDR3,6186.0,100.0,4.15,0.17,,,-0.09,0.1,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014ApJ...784...45R,0,2018-07-30,,"EU,NASA",2100338792724606720,2100338792725538048,1.8051,0.0112,13.5291,0.0028,12.998,0.0038,13.9007,0.0029,72990.0,11.95,0.0030971,4.639335958909542,0.0414242715233725,1.0239310777772734,0.0366839518257945,0.8649998174354927,0.0283386100025389,,553.98592875741,285.419606,39.706107,285.4195845000001,39.7061009,545.613831,3.546448000000056
Kepler-351,,19 05 48.65,+42 39 28.36,,,GAIAeDR3,5643.0,200.0,4.56,0.3,,,-0.13,0.5,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,"EU,NASA",2105491997566014336,2105491997566014336,0.8668,0.0291,15.9568,0.0028,15.3703,0.0047,16.375999999999998,0.0054,7803.0,3.169,0.0075881,4.748020302770153,0.1068507448252144,0.8810021544024661,0.1165419331971164,0.7316953237777533,0.023971367396,,1153.66866635902,286.452706,42.657879,286.4527949,42.6577891,1117.67725,38.432130000000136
Kepler-352,,19 59 35.16,+46 03 07.11,,,GAIAeDR3,5223.0,60.0,4.71,0.1,,,-0.11,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,"EU,NASA",2085281530744134272,2085281530744134272,3.9913,0.0136,12.9502,0.0028,12.3438,0.0041,13.3899,0.0036,124400.0,66.35,0.0099053,4.6452910720982805,0.0299064825445437,0.7823449058304672,0.0110942501690593,0.7564831515582785,0.0247834514798614,,250.544935234134,299.896521,46.051975,299.8966237,46.05190220000001,249.313858,1.092316000000011
Kepler-353,,19 47 25.59,+41 45 29.44,,,GAIAeDR3,3903.0,100.0,4.75,0.1,,,-0.2,0.1,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,M1V,"EU,NASA",2076953069455745920,2076953069455745920,2.5761,0.0286,15.708,0.0028,14.7716,0.004,16.6171,0.0047,9812.0,4.207,0.0081128,4.466962530004441,0.0875968174266093,0.524254897897813,0.0190711325265748,0.7431662736276194,0.0243471718385001,,388.183688521408,296.856633,41.75818,296.8565596,41.7580749,383.164062,4.30740400000002
