HD 4747,4747,00 49 26.77,-23 12 44.94,7.15,,GAIAeDR3,5366.0,32.0,4.48,0.05,0.84,0.06,-0.21,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,2348830516542120192,2348830516542653824,53.0526,0.0282,6.9578,0.0028,6.3986,0.0038,7.3476,0.0029,31030000.0,7135.0,0.0048337,4.558441343081598,0.014754799991933,0.8021318795047707,0.0056473115566155,0.8101259569251477,0.0265408651926651,HD4747_FEROS_48000_352_921_2020,18.8492175689787,12.3615223839,-23.2124822084,,,18.8379364,0.0095805999999996
HD 92987,92987,10 43 36.27,-39 03 30.54,7.02,0.01,GAIAeDR3,5869.0,14.0,4.14,0.03,1.2,0.02,0.07,0.01,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,5394489064197253376,5394489064197253376,22.9831,0.047,6.8759,0.0028,6.3918,0.0038,7.1883,0.0028,33460000.0,5021.0,0.0035347,4.1314461506126055,0.0058133961472657,1.154554620390682,0.0047860861629834,1.5690804546333694,0.0514052814465217,HD92987_UVES_66320_472_683_2020,43.510231430921,160.90000001200002,-39.058611119,,,43.5063171,0.0953673999999935
HD 131664,131664,15 00 06.07,-73 32 07.22,8.13,0.01,GAIAeDR3,5926.0,32.0,4.44,0.06,1.17,0.04,0.34,0.02,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,1,2021-01-01,,EU,5793748639924547968,5793748639924547968,19.136,0.0829,7.9791,0.0028,7.4915,0.0038,8.2979,0.0028,12120000.0,2412.0,0.0042927,4.423173285025307,0.0136057495319318,1.1303161911949726,0.0098960731877189,1.1016872256959742,0.0360928222231742,HD131664_HARPSS_115000_378_691_2020,52.2575250836121,225.025,-73.5352778,,,52.2066689,0.2562065000000047
KIC 8012732,,18 58 55.00,+43 51 51.00,14.3,,noPlx,5846.0,60.0,4.21,0.15,,,0.12,0.06,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EU,2105845146956770432,2105845146956770432,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,284.729166685,43.864166695,,,-1.0,-1.0
KOI-368,,19 23 25.00,+42 05 13.00,11.3,0.06,GAIAeDR3,9257.0,,,,,,0.07,,Ahlers et al. 2014,http://adsabs.harvard.edu/abs/2014ApJ...786..131A,0,2018-07-30,,EU,2101932667967665408,2101932667967665408,0.9043,0.0159,11.2851,0.0028,11.2142,0.0038,11.3229,0.0029,576600.0,199.6,0.0068812,4.056285768451514,0.0236371507632726,2.326827224272978,0.1208482216462817,2.230528097669546,0.07307523606995,,1105.82771204246,290.854166675,42.086944449,,,1038.22266,18.6484999999999
KOI-771,,19 46 48.00,+49 18 59.00,15.2,,noPlx,5651.0,60.0,4.33,0.1,,,0.17,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,EU,2086841389840620672,2086841389840620672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,296.700000016,49.316388908,,,-1.0,-1.0
2MASS J19373645+5010195,,19 37 36.45,+50 10 19.41,11.96,0.05,noPlx,5667.0,250.0,4.23,0.26,,,0.0,0.25,Judkovsky et al. 2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160..195J/abstract,0,2021-04-13,,EU,-1,-1,-1.0,-1.0,,,,,,,,,,,,1.0463841099482756,0.1670277805934041,,,,-1000.0,294.40192,50.172089,,,0.0,0.0
TOI-4138,,10 10 08.00,+72 42 37.00,11.8,,GAIAeDR3,6128.0,57.0,4.2,0.1,1.28,0.07,0.2,0.04,Montalto et al. 2021,https://arxiv.org/pdf/2110.00489.pdf,0,2022-03-14,,EU,1697129530714536320,-1,1.9695,0.0112,11.661698,0.002763,11.201644,0.003791,11.959469,0.002851,407630.0,77.653,0.003703719,4.061329352762434,0.0197744134776603,1.3578236783107736,0.0132170870826777,1.767089297131737,0.0578923294799555,,507.7430820005077,152.533333336,72.7102778,,,,
2MASS J19342555+4118226,,19 34 25.55,+41 18 22.59,,,GAIADR3,7289.0,283.0,,,,,-0.24,0.33,Stassun et al. 2019,https://doi.org/10.3847/1538-3881/ab346,0,2022-09-19,,EU,2077389442438119296,2077389442438119296,0.6593,0.0121,13.714632,0.002776,13.355244,0.003851,13.934328,0.003093,61531.0,19.185,0.006196784,4.258473844993802,0.0816574395892499,1.4551005473415917,0.1090110909868518,1.5770013352950982,0.0516647806318684,,1516.7602002123465,293.60648,41.306278,,,1462.6825,25.73425999999995
2MASS J19282818+4227226,,19 28 28.18,+42 27 22.63,,,GAIADR3,5985.0,167.0,,,,,-0.42,0.28,Stassun et al. 2019,https://doi.org/10.3847/1538-3881/ab346,0,2022-09-19,,EU,2125731773252011136,2125731773252011136,0.615,0.0308,15.117997,0.002802,14.572145,0.004043,15.469079,0.003463,16895.0,7.8885,0.008622107,4.246348505056418,0.0780893374182657,0.9850912033565086,0.0720201409379406,1.217781623990158,0.0398962379123151,,1626.0162601626016,292.11746,42.45628,,,1553.58691,73.43677000000002
