# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
HD 190228 b,65.7,20.4,20.4,,,,1146.0,16.0,16.0,2.0,0.5,0.5,0.5,0.04,0.04,0.030253,4.5,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2002,2011-01-14,107.0,3.2,3.2,1236.0,25.0,25.0,Controversial,,,,,HD 190228,300.75,28.3066667,7.3,,,,,66.11,-0.24,1.3,3.02,G5IV,10.16,5176.0,,
HD 191760 b,0.29,0.05,0.05,,,,8.64,0.03,0.03,0.09,,,0.04,0.12,0.12,0.000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2008,2008-11-26,29.0,112.0,112.0,,,,Controversial,,,,,HD 191760,303.3625,-46.2011111,8.27,,,,,118.0,0.29,1.28,1.62,G3IV,4.1,5821.0,,
HD 191760 c,7.2,0.44,0.44,,,,86.83,0.5,0.5,0.42,,,0.5,0.07,0.07,0.003559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2008,2008-11-26,55.0,7.0,7.0,,,,Controversial,,,,,HD 191760,303.3625,-46.2011111,8.27,,,,,118.0,0.29,1.28,1.62,G3IV,4.1,5821.0,,
HD 197083 b,,,,,,,1750.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-10,,,,,,,Controversial,,,,,HD 197083,310.6125,-33.3286111,9.2,,,,,80.8,,,,G3V,,,,
HD 203857 b,8.1,,,,,,840.0,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-03-06,,,,,,,Controversial,,,,,HD 203857,320.95,37.3513889,6.45,,,,,282.0,,,,K5III,,,,
HD 208487 c,0.46,0.1,0.1,,,,908.0,90.0,90.0,1.8,0.1,0.1,0.19,0.1,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2006,2010-12-24,227.0,50.0,50.0,10605.0,120.0,120.0,Controversial,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45.0,-0.06,1.3,1.15,G2V,3.88,5929.0,,
HD 219542 B b,0.3,,,0.0,,,112.1,,,0.46,,,0.32,,,0.008,,,,,,,,,,,,,,,,1770.6,,,,,,,,,,,,,1,,2005-04-13,51.0,,,,,,Controversial,,,,,HD 219542 B,349.1416667,-1.5841667,8.56,,,,,54.6,0.2,1.06,,G7,7.4,,,
HD 240210 c,3.8,0.0,0.0,,,,994.0,97.0,97.0,2.1,,,0.58,0.35,0.35,0.014685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2010,2010-07-02,326.0,156.0,156.0,,,,Controversial,,,,,HD 240210,347.6208333,57.0294444,8.33,,,,,143.0,-0.18,1.25,,K3III,,4290.0,,
HD 33473A b,7.2,0.3,0.3,,,,2798.0,60.0,60.0,4.17,0.09,0.09,0.07,0.01,0.01,0.077944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-20,141.0,15.0,15.0,55053.0,93.0,93.0,Controversial,,,,,HD 33473A,77.125,-41.2136111,6.71,,,,,53.5,-0.13,1.23,2.23,G3V,4.4,5740.0,,
HD 38529 d,0.17,0.06,0.06,,,,193.9,2.9,2.9,0.74,0.14,0.14,0.23,0.13,0.13,0.018839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-03-02,160.0,9.0,9.0,52578.5,3.3,3.3,Controversial,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697.0,,
HD 41248 b,0.0387,0.0132,0.017,,,,18.357,0.066,0.044,0.137,0.011,0.017,0.15,0.11,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2014-04-25,183.0,180.0,180.0,,,,Controversial,,,,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,-0.43,0.92,0.78,G2V,2.0,5713.0,,
HD 41248 c,0.0271,0.0205,0.0157,,,,25.648,0.12,0.13,0.172,0.02,0.02,0.0,0.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2014-04-25,180.0,180.0,180.0,,,,Controversial,,,,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,-0.43,0.92,0.78,G2V,2.0,5713.0,,
HD 43848 b,101.8,15.0,15.0,,,,2371.0,840.0,840.0,3.4,,,0.69,0.1,0.1,0.091768,19.6,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2011-01-11,229.0,9.0,9.0,3227.0,65.0,65.0,Controversial,,,,,HD 43848,94.1291667,-40.5319444,8.65,,,,,37.05,-0.03,0.89,,G0V,,,,
HD 50499 c,2.0,nan,inf,,,,3100.0,nan,inf,4.0,nan,inf,,,,0.084638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005,2010-12-29,,,,,,,Controversial,,,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,0.23,1.27,1.38,G IV,6.0,5902.0,,
HD 5388 b,69.0,20.0,20.0,,,,777.0,4.0,4.0,1.76,,,0.4,0.02,0.02,0.033208,178.3,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2011-02-16,324.0,4.0,4.0,2454570.0,9.0,9.0,Controversial,,,,,HD 5388,13.7958333,-47.4058333,6.8,,,,,53.0,-0.27,1.21,,F6V,,6297.0,,
HD 68988 c,15.0,5.0,5.0,,,,12700.0,9000.0,9000.0,6.0,1.0,1.0,,,,0.103448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2010-12-30,,,,,,,Controversial,,,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58.0,0.24,1.2,1.14,G0,6.78,5767.0,,
HD 74156 d,0.396,0.02,0.02,,,,336.6,3.6,3.6,1.01,,,0.25,0.11,0.11,0.015644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2010-12-06,166.5,27.4,27.4,678.2,44.2,44.2,Controversial,,,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960.0,,
HD 89839 b,3.9,0.4,0.4,,,,6600.0,3570.0,3570.0,6.8,2.4,2.4,0.32,0.2,0.2,0.385269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-20,-22.0,144.0,144.0,60067.0,4954.0,4954.0,Controversial,,,,,HD 89839,155.1708333,-53.6641667,,,,,,17.65,0.04,1.21,1.25,,1.2,6314.0,,
HD 98800B b,1.0,,,,,,,,,5.2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-07-06,,,,,,,Controversial,,,,,HD 98800B,170.5208333,-24.7777778,10.0,,,,,,,0.58,,K5,,,,
HIP 11952 b,2.93,0.42,0.42,,,,290.0,16.2,16.2,0.81,0.02,0.02,0.27,0.1,0.1,0.007297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-06-17,59.3,2.5,2.5,2455402.0,1.3,1.3,Controversial,,,,,HIP 11952,38.5458333,-12.3841667,9.78,,,,,111.0,-1.9,0.83,1.6,F2V,12.8,6040.0,,
HIP 11952 c,0.78,0.16,0.16,,,,6.95,0.01,0.01,0.07,0.01,0.01,0.35,0.24,0.24,0.000631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-06-17,61.2,6.6,6.6,2455029.2,0.04,0.04,Controversial,,,,,HIP 11952,38.5458333,-12.3841667,9.78,,,,,111.0,-1.9,0.83,1.6,F2V,12.8,6040.0,,
HIP 13044 b,1.25,0.05,0.05,,,,16.2,0.3,0.3,0.116,0.001,0.001,0.25,0.05,0.05,0.000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2013-12-30,219.8,1.8,1.8,5109.78,0.02,0.02,Controversial,,,,,HIP 13044,41.9041667,-36.1075,9.94,,,,,701.0,-2.09,0.8,6.7,F2,9.0,6025.0,,
HIP 21934 b,1.0,inf,nan,,,,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-20,,,,,,,Controversial,,,,,HIP 21934,70.7375,-44.1955556,9.9,,,,,34.8,0.025,0.72,0.7,K3,3.9,4674.0,,
HIP 22627 b,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2013,2013-07-23,,,,,,,Controversial,,,,,HIP 22627,73.025,6.4767,11.9,,,,,12.29,0.13,0.36,,M3.5,,,,
HS 0702 b,5.58,1.44,1.44,,,,636.0,60.0,60.0,1.148,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-02-24,,,,,,,Controversial,,,,,HS 0702,106.7916667,60.6472222,,,15.45,,,,,,,sdB D,,28400.0,,
HU Aqr(AB) b,6.71,,,,,,3278.0,28.0,28.0,4.29,,,0.03,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2012-05-22,211.0,40.0,40.0,2449102.92004,2.0,2.0,Controversial,,,,,HU Aqr(AB),316.9916667,-5.2947222,15.0,,,,,,,1.0,,Catac. var.,,,,
HW Vir (AB) c,8.5,0.4,0.4,,,,20000.0,,,12.8,0.2,0.2,,,,0.070718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2008,2012-06-15,,,,,,,Controversial,,,,,HW Vir (AB),191.0833333,-8.6713889,10.9,,,,,181.0,,0.627,,sdB+M,,,,
KH 15D b,10.0,,,,,,,,,7.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-11-27,,,,,,,Controversial,,,,,KH 15D,100.29166667,9.47583335,14.0,,,,,760.0,,,,K5,0.003,,,
KIC 10005758 b,,,,0.59,0.03,0.03,134.47975,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-02-28,,,,,,,Controversial,,,,,KIC 10005758,289.3416667,46.9883333,14.0,,,,,,-0.25,,0.766,,,6015.0,,
KIC 10005758 c,,,,0.34,0.007,0.007,284.0433,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-02-28,,,,,,,Controversial,,,,,KIC 10005758,289.3416667,46.9883333,14.0,,,,,,-0.25,,0.766,,,6015.0,,
KIC 11974540 b,,,,1.11,,,24.67145,,,,,,,,,,88.6,,,54965.861531,,,,,,,,,,,,,,,,,,,,,,,,,1,,2010-07-28,,,,,,,Controversial,,,,,KIC 11974540,297.0083333,50.3722222,13.2,,,,,,,,1.33,,,6507.0,,
KIC 12251650 b,,,,1.27,,,17.7621,,,,,,,,,,88.92,,,54971.658016,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 12251650,287.4625,50.975,14.8,,,,,,,,0.77,,,4952.0,,
KIC 1571511 b,,,,1.44,,,14.01769,,,,,,,,,,88.52,,,54968.53184,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 1571511,290.9958333,37.1991667,13.4,,,,,,,,,,,5804.0,,
KIC 2437209 b,,,,5.5,1.0,1.0,281.2228,0.0001,0.0017,0.87,0.06,0.06,0.0,,,,89.27,0.39,0.28,,,,,,,,,,,,,,,,,,,557.0,,,,,,,1,2013,2013-10-25,,,,,,,Controversial,,,,,KIC 2437209,290.2083,37.7261,16.8,,,,,,-0.047,1.1,5.3,,,4675.0,,
KIC 3342592 b,,,,1.38,,,17.17909,,,,,,,,,,88.8,,,54969.190274,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 3342592,291.5583333,38.4463889,14.9,,,,,,,,,,,5717.0,,
KIC 5372966 b,,,,1.91,,,9.286532,,,,,,,,,,88.49,,,54967.674936,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 5372966,294.7458333,40.5338889,15.4,,,,,,,,,,,5464.0,,
KIC 6756669 b,,,,1.63,,,5.852948,,,,,,,,,,87.45,,,54965.857354,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 6756669,284.0875,42.2333333,15.3,,,,,,,,,,,5353.0,,
KIC 6805146 b,,,,2.12,,,13.77973,,,,,,,,,,88.65,,,54956.56878,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 6805146,298.5916667,42.2063889,13.2,,,,,,,,,,,6214.0,,
KIC 6805414 b,,,,1.67,0.25,0.25,200.249,0.0011,0.0011,0.68,0.04,0.04,0.0,,,,89.58,0.17,0.17,,,,,,,,,,,,,,,,,,,464.0,,,,,,,1,2013,2013-10-25,,,,,,,Controversial,,,,,KIC 6805414,298.645833345,42.285833341,15.8,,,,,,-0.08,1.06,1.64,,,5677.0,,
KIC 8544996 b,,,,0.91,,,4.081793,,,,,,,,,,85.55,,,54965.897678,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,,,,,,,Controversial,,,,,KIC 8544996,284.8291667,44.6580556,15.2,,,,,,,,,,,5463.0,,
KOI-191 b,15.0,inf,nan,1.06,0.13,0.13,15.359,0.0004,0.0004,,,,,,,,,,,2454965.3847,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-191,295.2875,41.2219444,14.8,,,,,,0.0,0.9,,G,,5500.0,,
KOI-191 c,0.057,inf,nan,0.18,0.012,0.012,2.42,0.0006,0.0006,,,,,,,,,,,2454965.5,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-191,295.2875,41.2219444,14.8,,,,,,0.0,0.9,,G,,5500.0,,
KOI-209 b,15.0,inf,nan,1.05,0.12,0.12,29.0,nan,inf,,,,,,,,,,,2454968.635,0.0036,0.0036,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-209,288.7916667,48.0402778,14.3,,,,,,-0.05,1.0,,,,6100.0,,
KOI-209 c,0.47,inf,nan,0.68,0.023,0.023,18.801,0.0087,0.0087,,,,,,,,,,,2454978.822,0.0046,0.0046,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-209,288.7916667,48.0402778,14.3,,,,,,-0.05,1.0,,,,6100.0,,
KOI-410 b,3.5,inf,nan,1.07,,,7.217,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-06-17,,,,,,,Controversial,,,,,KOI-410,292.25,40.6961111,15.5,,,,,,-0.4,,1.12,,,5958.0,,
KOI-74 b,264.0,26.0,26.0,0.4,0.02,0.02,5.188754,8.3e-05,8.3e-05,0.074,,,0.0,,,7.4e-05,88.8,0.5,0.5,2454958.87995,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-09-13,,,,,,,Controversial,,,,,KOI-74,298.325,42.3886111,,,,,,1000.0,,2.22,1.899,A1V,,9400.0,,
KOI-877 b,0.13,inf,nan,0.23,0.02,0.02,5.952,0.0024,0.0024,,,,,,,,,,,2455003.952,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-877,293.6375,42.825,15.0,,,,,,0.0,1.0,,K,,4500.0,,
KOI-877 c,0.078,inf,nan,0.21,0.02,0.02,12.039,0.0077,0.0077,,,,,,,,,,,2455014.227,0.0051,0.0051,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-877,293.6375,42.825,15.0,,,,,,0.0,1.0,,K,,4500.0,,
KOI-896 b,0.13,inf,nan,0.38,0.019,0.019,16.242,0.0075,0.0075,,,,,,,,,,,2455008.568,0.0024,0.0024,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-896,293.0625,43.5813889,15.2,,,,,,0.0,0.8,,,,5000.0,,
KOI-896 c,0.094,inf,nan,0.28,0.016,0.016,6.311,0.0024,0.0024,,,,,,,,,,,2455007.051,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,1,2010,2012-05-21,,,,,,,Controversial,,,,,KOI-896,293.0625,43.5813889,15.2,,,,,,0.0,0.8,,,,5000.0,,
Kepler-19 c,6.0,inf,nan,,,,160.0,inf,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2013-04-25,,,,,,,Controversial,,,,,Kepler-19,290.4208333,37.8516667,12.0,,,,,,-0.13,0.936,0.85,,1.9,5541.0,,
Kepler-23 d,,,,0.2,,,15.275,,,0.125,,,,,,,,,,2454980.5655,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-23,294.2166667,49.4791667,14.0,,,,,,,1.11,1.52,,,5760.0,,
Kepler-24 d,,,,0.15,,,18.9981,,,0.141,,,,,,,,,,2454977.7512,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,1.03,1.07,,,5800.0,,
Kepler-24 e,,,,0.15,,,4.2443,,,0.052,,,,,,,,,,2454970.0712,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,1.03,1.07,,,5800.0,,
Kepler-26 d,,,,0.12,,,3.5438,,,0.037,,,,,,,,,,2454969.2705,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-26,284.9416667,46.5666667,16.0,,,,,,-0.21,0.65,0.59,,,4500.0,,
Kepler-32 d,,,,0.44,0.04,0.04,22.7802,0.005,0.005,0.13,,,,,,,,,,2454988.211,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-32,297.8416667,46.5741667,16.0,,,,,,0.0,0.58,0.53,,,3900.0,,
Kepler-32 e,,,,0.24,,,2.896,0.0003,0.0003,0.033,,,,,,,,,,2454966.61,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-32,297.8416667,46.5741667,16.0,,,,,,0.0,0.58,0.53,,,3900.0,,
Kepler-32 f,,,,0.13,0.01,0.01,0.74296,7e-05,7e-05,0.013,,,,,,,,,,24549.05,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-01-30,,,,,,,Controversial,,,,,Kepler-32,297.8416667,46.5741667,16.0,,,,,,0.0,0.58,0.53,,,3900.0,,
Kepler-46 d,,,,0.1513,0.0089,0.0089,6.76671,0.00013,0.00013,0.068,0.003,0.003,0.0,,,7.9e-05,88.56,0.69,0.69,2455255.2603,0.0032,0.0032,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-11-05,,,,,,,Controversial,,,,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857.0,0.41,0.902,0.94,,9.9,5155.0,,
Kepler-47(AB) d,,,,,,,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-11-14,,,,,,,Controversial,,,,,Kepler-47A,295.2979,46.92,,,,,,,,1.043,0.964,,,5636.0,,
LHS 6343 (AC) b,0.3,0.2,0.7,,,,73.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-29,,,,,,,Controversial,,,,,LHS 6343 (AC),287.5583333,46.9572222,13.88,,10.1,9.51,,36.6,,0.37,0.378,M,,3130.0,,
LUH (AB) b,30.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2014-01-16,,,,,,,Controversial,,,,,LUH 16A,162.329166673,-52.680555547,23.0,15.0,,,,2.02,,,,L7.5,,,,
Lupus-TR-3 b,0.81,0.18,0.18,0.89,0.07,0.07,3.91405,4e-05,4e-05,0.0464,0.0007,0.0007,0.0,,,,88.3,0.8,0.8,2453887.0818,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2011-06-09,,,,,,,Controversial,,,,,Lupus-TR-3,232.5791667,-42.9794444,17.4,,,,,,,0.87,0.82,K1V,,5000.0,,
MOA-2010-BLG-073Lb,11.0,2.0,2.0,,,,,,,1.21,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-11-27,,,,,,,Controversial,,,,,  MOA-2010-BLG-073L,272.5458,-26.5231,,,,,,2800.0,,0.16,,M,,,,
NGC 6440 X2 b,6.7,,,,,,0.03979,0.004,0.004,0.00255,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-11-09,,,,,,,Controversial,,,,,NGC 6440 X2,267.2166667,-20.3586111,,,,,,,,,,X-ray source,,,,
NSVS 1425 (AB)  b,2.8,0.3,0.3,,,,1276.0,77.0,77.0,1.9,0.3,0.3,0.0,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-02-19,11.4,7.0,7.0,,,,Controversial,,,,,NSVS 1425 (AB),305.0,4.6325,13.2,,,,,,,0.528,,sdOB+dM,,42000.0,,
NSVS 1425 (AB) c,8.0,0.8,0.8,,,,2506.0,91.0,91.0,2.9,0.6,0.6,0.52,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-02-19,97.5,8.0,8.0,,,,Controversial,,,,,NSVS 1425 (AB),305.0,4.6325,13.2,,,,,,,0.528,,sdOB+dM,,42000.0,,
OGLE-2008-BLG-513 MOA-2008-BLG-401 b,6.8,2.3,2.3,,,,,,,4.0,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,2014-01-22,,,,,,,Controversial,,,,,OGLE-2008-BLG-513/MOA-2008-BLG-401,272.7125,-29.6780556,,,,,,,,0.25,,,,,,
OGLE-TR-109 b,14.0,8.0,8.0,0.9,0.09,0.09,0.589128,,,0.016,0.001,0.001,,,,6e-06,77.0,5.0,5.0,2452322.55993,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,1,2002,2009-10-27,,,,,,,Controversial,,,,,OGLE-TR-109,163.4208333,-61.4208333,15.8,,,,,2590.0,,,1.5,,,,,
OGLE-TR-123 b,,,,0.41,0.03,0.03,1.8038,,,,,,,,,,,,,324.97937,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-04-28,,,,,,,Controversial,,,,,OGLE-TR-123,166.7125,-61.1861111,18.69,15.4,,,,500.0,,,0.49,M/K,,3670.0,,
OGLE-TR-173 b,,,,0.43,0.05,0.05,2.6059,,,,,,,,,,,,,698.87378,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-04-28,,,,,,,Controversial,,,,,OGLE-TR-173,198.7333333,-65.0333333,16.96,14.89,,,,100.0,,,0.33,M/K,,2850.0,,
OGLE-TR-3 b,0.5,,,1.4,,,1.1899,,,0.025,,,,,,,90.0,,,,,,,,,,,,,,,2060.22765,,,,,,,,,,,,,1,,2005-04-12,,,,,,,Controversial,,,,,OGLE-TR-3,267.95,-30.2236111,16.6,15.567,,,,3000.0,,1.0,,G,,,,
OGLE-TR-61 b,,,,0.6,0.06,0.06,4.268,,,,,,,,,,,,,2452076.62809,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-04-28,,,,,,,Controversial,,,,,OGLE-TR-61,167.1708333,-61.1330556,18.17,16.26,,,,250.0,,,0.37,M/K,,3050.0,,
OGLE-TR-74 b,,,,0.63,0.06,0.06,1.58511,,,,,,,,,,,,,2452076.33895,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-04-28,,,,,,,Controversial,,,,,OGLE-TR-74,166.5458333,-61.2480556,17.74,15.87,,,,250.0,,,0.39,M/K,,3150.0,,
PA-99-N2 b,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2009-06-16,,,,,,,Controversial,,,,,PA-99-N2,0.0,0.0,,,,,,670000.0,,0.5,,,,,,
PSR B1828-11 b,6e-06,0.0,2.0,0.0014,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2007-10-09,,,,,,,Controversial,,,,,PSR B1828-11,277.7,-10.9863889,,,,,,,,,,,,,,
PTFO 8-8695 b,5.5,1.4,1.4,1.91,0.21,0.21,0.448413,4e-05,4e-05,0.00838,0.00072,0.00072,,,,2.5e-05,61.8,3.7,3.7,2455543.9402,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-08-06,,,,,,,Controversial,,,,,PTFO 8-8695,81.2833333,1.5733333,16.26,,,,,330.0,,0.39,1.39,M3 PMS,0.00265,3740.0,,
QS Vir b,6.4,,,,,,2869.0,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,2013-08-05,,,,,,,Controversial,,,,,QS Vir,207.4666667,-13.2272222,14.8,,,,,,,,,DA+dme,,,,
Qatar-2 c,8.4,0.0,0.0,,,,332.0,0.0,0.0,,,,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-10-28,,,,,,,Controversial,,,,,Qatar-2,207.6541667,-6.8038889,13.3,,,,,,0.0,0.74,0.713,K,,4645.0,,
ROXs 42B c,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-11-16,,,,,,,Controversial,,,,,ROXs 42B,247.8125,-24.5456,14.27,,,,,135.0,,0.6,,M0 D,0.002,2200.0,,
SCR 1845 b,45.0,20.0,20.0,0.7,0.1,0.1,,,,4.5,nan,inf,,,,1.168831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2012-04-13,,,,,,,Controversial,,,,,SCR 1845,281.2791667,-63.9619444,17.4,,,,,3.85,,,,M8.5 V,0.1,,,
SDSS 141624 b,15.0,5.0,10.0,,,,,,,75.0,0.0,0.0,,,,9.493671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010,2010-01-18,,,,,,,Controversial,,,,,SDSS 141624,244.1041667,13.8072222,,13.0,,,,7.9,,,,,3.0,,,
SSTc2d J183027.89+011452,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2012-08-06,,,,,,,Controversial,,,,,SSTc2d J183027.89+011452,277.6167,1.2478,,,19.38,,,,,0.003,,T3-T4,,1325.0,,
