# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, impact_parameter, impact_parameter_error_min, impact_parameter_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, K, K_error_min, K_error_max, temp_calculated, temp_measured, hot_point_lon, albedo, albedo_error_min, albedo_error_max, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, mass_detection_type, radius_detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff, star_detected_disc, star_magnetic_field
Candidate 1 b,0.02,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 1,0.0,0.0,,,,,,,,,,,,,,
Candidate 10 b,0.145,,,,,,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 10,0.0,0.0,,,,,,,,,,,,,,
Candidate 11 b,0.195,,,,,,1219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 11,0.0,0.0,,,,,,,,,,,,,,
Candidate 12 b,0.296,,,,,,1697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2010-11-04,,,,,,,Controversial,,,,,Candidate 12,0.0,0.0,,,,,,,,,,,,,,
Candidate 2 b,0.023,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 2,0.0,0.0,,,,,,,,,,,,,,
Candidate 4 b,0.028,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 4,0.0,0.0,,,,,,,,,,,,,,
Candidate 5 b,0.038,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 5,0.0,0.0,,,,,,,,,,,,,,
Candidate 6 b,0.047,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 6,0.0,0.0,,,,,,,,,,,,,,
Candidate 8 b,0.1,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 8,0.0,0.0,,,,,,,,,,,,,,
Candidate 9 b,0.11,,,,,,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-04,,,,,,,Controversial,,,,,Candidate 9,0.0,0.0,,,,,,,,,,,,,,
ChaHa8 b,25.0,7.0,7.0,,,,1895.0,132.0,132.0,1.02,0.06,0.06,0.59,0.22,0.22,0.006375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2010-06-15,106.0,26.0,26.0,3163.0,214.0,214.0,Controversial,,,,,ChaHa8,166.95,-77.6688889,20.1,,,,,160.0,,0.085,,M6.5,0.003,2967.0,,
CoRoT-102636650 b,3.0,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,2008-02-19,,,,,,,Controversial,,,,,CoRoT-102636650,100.575,-1.4016667,15.16,,,,,,,0.9,,KOV,,,,
